Gold label; Gold Positions; Gold liks; System Label; System Positions; Syste, links; System; URI Sent
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;Palestinian Intifada;130-150; https://en.wikipedia.org/wiki/First_Intifada; Babelfys; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;first Palestinian Intifada;124-150; https://en.wikipedia.org/wiki/First_Intifada; Babelfys; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;Palestinian Intifada;130-150; https://en.wikipedia.org/wiki/First_Intifada; FREMENER; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;first Palestinian Intifada;124-150; https://en.wikipedia.org/wiki/First_Intifada; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
the lesser security cabinet;64-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;75-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence97#0,235
the lesser security cabinet;64-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;75-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfys; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence97#0,235
the lesser security cabinet;64-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;75-91; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence97#0,235
the security cabinet;74-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;78-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence98#236,501
the security cabinet;74-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;78-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfys; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence98#236,501
the security cabinet;74-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;78-94; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence98#236,501
The security cabinet;0-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;4-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence102#1123,1297
The security cabinet;0-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;4-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; Babelfys; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence102#1123,1297
The security cabinet;0-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel ;security cabinet;4-20; https://en.wikipedia.org/wiki/Security_Cabinet_of_Israel; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0184.eng_sentence102#1123,1297
